Signature;Name;Title;Position;RiskyMatch;SawyerNo;PASE_ID
"+ Ego Cenwald episcopus consensi";"Cenwald";"Bishop";"7";"FALSE";S 526;;
"+ Ego Aelfric episcopus consignaui";"Aelfric";"Bishop";"8";"FALSE";S 526;;
"+ Ego Aethelgar episcopus confirmaui";"Aethelgar";"Bishop";"9";"FALSE";S 526;;
"+ Ego Aelfred episcopus corroboraui";"Aelfred";"Bishop";"10";"FALSE";S 526;;
"+ Ego Wulfsyge episcopus conclusi";"Wulfsyge";"Bishop";"11";"FALSE";S 526;;
"+ Ego Aethelstan dux";"Aethelstan";"Dux";"12";"FALSE";S 526;;
"+ Ego Eadric dux";"Eadric";"Dux";"13";"FALSE";S 526;;
"+ Ego Aethelstan dux";"Aethelstan";"Dux";"14";"FALSE";S 526;;
"+ Ego Wulfgar dux";"Wulfgar";"Dux";"15";"FALSE";S 526;;
"+ Ego Ealhhelm dux";"Ealhhelm";"Dux";"16";"FALSE";S 526;;
"Ego Athelmund dux";"Athelmund";"Dux";"17";"FALSE";S 526;;
"Ego Aelfgar dux";"Aelfgar";"Dux";"18";"FALSE";S 526;;
"+ Eadmund minister";"Eadmund";"Minister";"19";"FALSE";S 526;;
"+ Aelfstan minister";"Aelfstan";"Minister";"20";"FALSE";S 526;;
"+ Wulfric minister";"Wulfric";"Minister";"21";"FALSE";S 526;;
"+ Aelfsige minister";"Aelfsige";"Minister";"22";"FALSE";S 526;;
"+ Wulfric minister";"Wulfric";"Minister";"23";"FALSE";S 526;;
"+ Aethelgeard minister";"Aethelgeard";"Minister";"24";"FALSE";S 526;;
"+ Aethelnoth minister";"Aethelnoth";"Minister";"25";"FALSE";S 526;;
"+ Beorhtwold minister";"Beorhtwold";"Minister";"26";"FALSE";S 526;;
"+ Aelfric minister";"Aelfric";"Minister";"27";"FALSE";S 526;;
"+ Aelfred minister";"Aelfred";"Minister";"28";"FALSE";S 526;;
"+ Ego Eadredus rex Anglorum prefatam donacionem sub sigillo sanctæ crucis indeclinabiliter consensi atque roboravi .";"Eadredus";"Sovereign";"1";"FALSE";S 527;;
"+ Ego Eadgifu ejusdem regis mater cum sigillo sanctæ crucis confirmavi .";"Eadgifu";"Queen";"2";"FALSE";S 527;;
"+ Ego Odda Dorobernensis ecclesiæ archiepiscopus ejusdem regis principatum et benevolenciam cum sigillo sanctæ crucis conclusi .";"Odda";"Archbishop";"3";"FALSE";S 527;;
"+ Ego Þeodred Lundoniensis ecclesiæ episcopus corroboravi .";"Þeodred";"Bishop";"4";"FALSE";S 527;;
"+ Ego Ælfheah Wintaniensis ecclesiæ episcopus testudinem sanctæ crucis subscripsi et confirmavi .";"Ælfheah";"Bishop";"5";"FALSE";S 527;;
"+ Ego Cenwald episcopus predictum donum consensi .";"Cenwald";"Bishop";"6";"FALSE";S 527;;
"+ Ego Ælfric episcopus consignavi .";"Ælfric";"Bishop";"7";"FALSE";S 527;;
"+ Ego Æthelgar episcopus roboravi .";"Æthelgar";"Bishop";"8";"FALSE";S 527;;
"+ Ego Ælfred episcopus confirmavi .";"Ælfred";"Bishop";"9";"FALSE";S 527;;
"+ Ego Wulfsige episcopus consensi .";"Wulfsige";"Bishop";"10";"FALSE";S 527;;
"+ Æþelstan dux .";"Æþelstan";"Dux";"11";"FALSE";S 527;;
"+ Ego Eadric dux .";"Eadric";"Dux";"12";"FALSE";S 527;;
"+ Ego Æthelstan dux .";"Æthelstan";"Dux";"13";"FALSE";S 527;;
"+ Ego Wulfgar dux .";"Wulfgar";"Dux";"14";"FALSE";S 527;;
"+ Ealhhelm dux .";"Ealhhelm";"Dux";"15";"FALSE";S 527;;
"+ Athelmund dux .";"Athelmund";"Dux";"16";"FALSE";S 527;;
"+ Ælfgar dux .";"Ælfgar";"Dux";"17";"FALSE";S 527;;
"+ Elfstan minister .";"Elfstan";"Minister";"18";"FALSE";S 527;;
"+ Wulfric minister .";"Wulfric";"Minister";"19";"FALSE";S 527;;
"+ Ælfsige minister .";"Ælfsige";"Minister";"20";"FALSE";S 527;;
"+ Wulfric minister .";"Wulfric";"Minister";"21";"FALSE";S 527;;
"+ Ælfric minister .";"Ælfric";"Minister";"22";"FALSE";S 527;;
"+ Æthelsige minister .";"Æthelsige";"Minister";"23";"FALSE";S 527;;
"+ Æþelnoð minister .";"Æþelnoð";"Minister";"24";"FALSE";S 527;;
"+ Æþelgeard minister .";"Æþelgeard";"Minister";"25";"FALSE";S 527;;
"+ Ælfheah minister .";"Ælfheah";"Minister";"26";"FALSE";S 527;;
"+ Ælfred minister .";"Ælfred";"Minister";"27";"FALSE";S 527;;
"+ Æþered minister .";"Æþered";"Minister";"28";"FALSE";S 527;;
"+ Ego Eadredus Rex Anglorum hanc donationem sub sigillo sancte crucis indeclinabiliter roboravi .";"Eadredus";"Sovereign";"1";"FALSE";S 527;;
"+ Ego Eadgifu ejusdem regis mater confirmavi .";"Eadgifu";"Queen";"2";"FALSE";S 527;;
"+ Ego Odo Dorobernensis episcopus .";"Odo";"Bishop";"3";"FALSE";S 527;;
"+ Ego Theodred Lundoniensis episcopus .";"Theodred";"Bishop";"4";"FALSE";S 527;;
"+ Ego Elfheah Wintaniensis episcopus .";"Elfheah";"Bishop";"5";"FALSE";S 527;;
"+ Ego Cenwalde episcopus .";"Cenwalde";"Bishop";"6";"FALSE";S 527;;
"Ælfric episcopus .";"Ælfric";"Bishop";"7";"FALSE";S 527;;
"Æthelgar episcopus .";"Æthelgar";"Bishop";"8";"FALSE";S 527;;
"Ælfred episcopus .";"Ælfred";"Bishop";"9";"FALSE";S 527;;
"Wulfige episcopus .";"Wulfige";"Bishop";"10";"FALSE";S 527;;
"+ Æthelstan dux .";"Æthelstan";"Dux";"11";"FALSE";S 527;;
"+ Eadric dux .";"Eadric";"Dux";"12";"FALSE";S 527;;
"Æthelstane dux .";"Æthelstane";"Dux";"13";"FALSE";S 527;;
"Wulfgar dux .";"Wulfgar";"Dux";"14";"FALSE";S 527;;
"Eathelme dux .";"Eathelme";"Dux";"15";"FALSE";S 527;;
"Athelmund dux .";"Athelmund";"Dux";"16";"FALSE";S 527;;
"Ælfgar dux .";"Ælfgar";"Dux";"17";"FALSE";S 527;;
"+ Ego Eadredus rex Anglorum prefatam donationem sub sigillo sancte crucis \+/ indeclinabiliter consensi atque roboraui.";"Eadredus";"Sovereign";"1";"FALSE";S 528;;
"+ Ego Eadgifu eiusdem regis mater predictum donum cum sigillo sancte crucis \+/ confirmaui.";"Eadgifu";"unknown";"2";"FALSE";S 528;;
"+ Ego Oda Dorobernensis æcclesie archiepiscopus eiusdem regis principatum et beniuolentiam . cum sigillo sancte [crucis] \+/ conclusi.";"Oda";"Archbishop";"3";"FALSE";S 528;;
"+ Ego Wulfstanus archons diuine seruitutis officio mancipatus Eborace ciuitatis archiepiscopus sigillum sancte crucis \+/ impressi.";"Wulfstanus";"Archbishop";"4";"FALSE";S 528;;
"+ Ego Þeodred Lundoniensis æcclesie episcopus corroboraui.";"Þeodred";"Bishop";"5";"FALSE";S 528;;
"+ Ego Ælfheah Wintaniensis æcclesie episcopus testudinem sancte crucis \+/ subscripsi et confirmaui.";"Ælfheah";"Bishop";"6";"FALSE";S 528;;
"+ Ego Cenwald episcopus . consensi.";"Cenwald";"Bishop";"7";"FALSE";S 528;;
"+ Ego Ælfric episcopus consignaui.";"Ælfric";"Bishop";"8";"FALSE";S 528;;
"+ Ego Æþelgar episcopus corroboraui.";"Æþelgar";"Bishop";"9";"FALSE";S 528;;
"+ Ego Ælfred episcopus confirmaui.";"Ælfred";"Bishop";"10";"FALSE";S 528;;
"+ Ego Wulfsige episcopus conclusi.";"Wulfsige";"Bishop";"11";"FALSE";S 528;;
"+ Æþelstan dux.";"Æþelstan";"Dux";"12";"FALSE";S 528;;
"+ Eadric dux.";"Eadric";"Dux";"13";"FALSE";S 528;;
"+ Æþelstan dux.";"Æþelstan";"Dux";"14";"FALSE";S 528;;
"+ Wulfgar dux.";"Wulfgar";"Dux";"15";"FALSE";S 528;;
"+ Ealhhelm dux.";"Ealhhelm";"Dux";"16";"FALSE";S 528;;
"+ Aþelmund dux.";"Aþelmund";"Dux";"17";"FALSE";S 528;;
"+ Ælfgar dux.";"Ælfgar";"Dux";"18";"FALSE";S 528;;
"+ Scule dux.";"Scule";"Dux";"19";"FALSE";S 528;;
"+ Eadmund minister.";"Eadmund";"Minister";"20";"FALSE";S 528;;
"+ Ælfstan minister.";"Ælfstan";"Minister";"21";"FALSE";S 528;;
"+ Wulfric minister.";"Wulfric";"Minister";"22";"FALSE";S 528;;
"+ Ælfsige minister.";"Ælfsige";"Minister";"23";"FALSE";S 528;;
"+ Wulfric minister.";"Wulfric";"Minister";"24";"FALSE";S 528;;
"+ Wulfsige minister.";"Wulfsige";"Minister";"25";"FALSE";S 528;;
"+ Æþelgeard minister.";"Æþelgeard";"Minister";"26";"FALSE";S 528;;
"+ Beorhtsige minister.";"Beorhtsige";"Minister";"27";"FALSE";S 528;;
"+ Æþelnoþ minister.";"Æþelnoþ";"Minister";"28";"FALSE";S 528;;
"+ Ego Eadredus rex Anglorum prefatam donationem sub sigillo sancte crucis indeclinabiliter consensi atque roboraui.";"Eadredus";"Sovereign";"1";"FALSE";S 529;;
"+ Ego Eadgifu eiusdem regis mater predictum donum cum sigillo sancte crucis confirmaui.";"Eadgifu";"Queen";"2";"FALSE";S 529;;
"+ Ego Oda Dorobernensis ecclesie archiepiscopus eiusdem regis principatum et beniuolentiam cum sigillo sancte crucis conclusi.";"Oda";"Archbishop";"3";"FALSE";S 529;;
"+ Ego Wulfstanus archons diuine seruitutis officio mancipatus Eborace ciuitatis archiepiscopus sigillum sancte crucis impressi.";"Wulfstanus";"Archbishop";"4";"FALSE";S 529;;
"+ Ego Þeodred Lundoniensis ecclesie episcopus corroboraui.";"Þeodred";"Bishop";"5";"FALSE";S 529;;
"+ Ego Ælfheah Wintoniensis ecclesie episcopus testudinem sancte crucis subscripsi et confirmaui.";"Ælfheah";"Bishop";"6";"FALSE";S 529;;
"+ Ego Cenwald episcopus consensi.";"Cenwald";"Bishop";"7";"FALSE";S 529;;
"+ Ego Ælfric episcopus consignaui.";"Ælfric";"Bishop";"8";"FALSE";S 529;;
"+ Ego Æþelgar episcopus confirmaui.";"Æþelgar";"Bishop";"9";"FALSE";S 529;;
"+ Ego Ælfred episcopus corroboraui.";"Ælfred";"Bishop";"10";"FALSE";S 529;;
"+ Ego Wulfsige episcopus conclusi.";"Wulfsige";"Bishop";"11";"FALSE";S 529;;
"+ Ego Æþelstan dux conclusi.";"Æþelstan";"Dux";"12";"FALSE";S 529;;
"+ Ego Eadric dux consensi.";"Eadric";"Dux";"13";"FALSE";S 529;;
"+ Ego Æþelstan dux consensi.";"Æþelstan";"Dux";"14";"FALSE";S 529;;
"+ Ego Wulfgar dux consensi.";"Wulfgar";"Dux";"15";"FALSE";S 529;;
"+ Ego Ealhhelm dux consensi.";"Ealhhelm";"Dux";"16";"FALSE";S 529;;
"+ Ego Æþelmund dux consensi.";"Æþelmund";"Dux";"17";"FALSE";S 529;;
"+ Ego Ælfgar dux consensi.";"Ælfgar";"Dux";"18";"FALSE";S 529;;
"+ Ego Eadmund minister consensi.";"Eadmund";"Minister";"19";"FALSE";S 529;;
"+ Ego Ælfstan minister consensi.";"Ælfstan";"Minister";"20";"FALSE";S 529;;
"+ Ego Wulfric minister consensi.";"Wulfric";"Minister";"21";"FALSE";S 529;;
"+ Ego Ælfsige minister consensi.";"Ælfsige";"Minister";"22";"FALSE";S 529;;
"+ Ego Wulfric minister consensi.";"Wulfric";"Minister";"23";"FALSE";S 529;;
"+ Ego Beorhtsige minister consensi.";"Beorhtsige";"Minister";"24";"FALSE";S 529;;
"+ Ego Æþelgeard minister consensi.";"Æþelgeard";"Minister";"25";"FALSE";S 529;;
"+ Ego Æþelnoð minister consensi.";"Æþelnoð";"Minister";"26";"FALSE";S 529;;
"+ Ego Eddredus rex Anglorum prefatam donacionem sub sigillo sancte crucis indeclinabiliter roboravi .";"Eddredus";"Sovereign";"1";"FALSE";S 530;;
"+ Ego Dorobornensis ecclesie archiepiscopus ejusdem regis principatum et benevolenciam cum sigillo sancte crucis conclusi cum multis aliis .";"Dorobornensis";"Archbishop";"2";"FALSE";S 530;;
"Ego Eadredus rex Anglorum prefatam donationem sub sigillo sancte crucis Indeclinabiliter consensi atque roboravi";"Eadredus";"Sovereign";"1";"FALSE";S 531;;
"Ego Eadgife ejusdem regis mater cum sigillo sancte crucis confirmavi";"Eadgife";"Queen";"2";"FALSE";S 531;;
"Ego Odo Dorobornensis ecclesie archiepiscopus ejusdem regis principatum et benivolentiam sub sigillo sancte crucis conclusi";"Odo";"Archbishop";"3";"FALSE";S 531;;
"Ego Wulfstanus archons divine servitutis officio mancipatus Eborace civitatis archiepiscopus sigillum sancte crucis impressi";"Wulfstanus";"Archbishop";"4";"FALSE";S 531;;
"Ego Þeodred Lundoniensis ecclesie episcopus corroboravi";"Þeodred";"Bishop";"5";"FALSE";S 531;;
"Ego Ælfheah Wintoniensis ecclesie episcopus testitudinem sanctae crucis subscripsi et confirmavi";"Ælfheah";"Bishop";"6";"FALSE";S 531;;
"Ego Cenwald episcopus predictum donum consensi";"Cenwald";"Bishop";"7";"FALSE";S 531;;
"Ego Ælfric episcopus consignavi";"Ælfric";"Bishop";"8";"FALSE";S 531;;
"Ego Æþelgar episcopus roboravi";"Æþelgar";"Bishop";"9";"FALSE";S 531;;
"Ego Wulfsige episcopus confirmavi";"Wulfsige";"Bishop";"10";"FALSE";S 531;;
"Aeþelstan dux";"Aeþelstan";"Dux";"11";"FALSE";S 531;;
"Eadric dux";"Eadric";"Dux";"12";"FALSE";S 531;;
"Ealhhelm dux";"Ealhhelm";"Dux";"13";"FALSE";S 531;;
"Aþelmund dux";"Aþelmund";"Dux";"14";"FALSE";S 531;;
"Eadmund miles";"Eadmund";"Miles";"15";"FALSE";S 531;;
"Aelfstan miles";"Aelfstan";"Miles";"16";"FALSE";S 531;;
"Wulfric miles";"Wulfric";"Miles";"17";"FALSE";S 531;;
"Aeþelgeard miles";"Aeþelgeard";"Miles";"18";"FALSE";S 531;;
"Aelfsige miles";"Aelfsige";"Miles";"19";"FALSE";S 531;;
"Wulfric miles";"Wulfric";"Miles";"20";"FALSE";S 531;;
"Aelfric miles";"Aelfric";"Miles";"21";"FALSE";S 531;;
"Aeþelsige miles";"Aeþelsige";"Miles";"22";"FALSE";S 531;;
"Aelfheah miles";"Aelfheah";"Miles";"23";"FALSE";S 531;;
"Ego Eadredus Rex Anglorum prefatam donationem sub sigillo sanctæ crucis indeclinabiliter consensi atque roboravi";"Eadredus";"Sovereign";"1";"FALSE";S 532;;
"Ego Eadgyfu Ejusdem regis mater cum sigillo sanctæ crucis confirmavi";"Eadgyfu";"unknown";"2";"FALSE";S 532;;
"Ego Oda Dorobernensis æcclesiæ archiepiscopus ejusdem regis principatum et benivolentiam sub sigillo sanctæ crucis conclusi";"Oda";"Archbishop";"3";"FALSE";S 532;;
"Ego Wulfstanus Archons divinæ servitutis officio mancipatus Eboracæ civitatis archiepiscopus sigillum sanctæ crucis impressi";"Wulfstanus";"Archbishop";"4";"FALSE";S 532;;
"Ego Þeodred Lundoniensis æcclesiæ episcopus corroboravi";"Þeodred";"Bishop";"5";"FALSE";S 532;;
"Ego Ælfheah Wintoniensis æcclesiæ episcopus testitudinem sanctæ crucis subscripsi et confirmavi";"Ælfheah";"Bishop";"6";"FALSE";S 532;;
"Ego Cenwald episcopus consensi";"Cenwald";"Bishop";"7";"FALSE";S 532;;
"Ego Ælfric episcopus consignavi";"Ælfric";"Bishop";"8";"FALSE";S 532;;
"Ego Æþelgar episcopus corroboravi";"Æþelgar";"Bishop";"9";"FALSE";S 532;;
"Ego Ælfred episcopus confirmavi";"Ælfred";"Bishop";"10";"FALSE";S 532;;
"Ego Wulfsige episcopus conclusi";"Wulfsige";"Bishop";"11";"FALSE";S 532;;
"Ego Æþel[s]tan Dux";"Æþel[s]tan";"Dux";"12";"FALSE";S 532;;
"Ego Eadric Dux";"Eadric";"Dux";"13";"FALSE";S 532;;
"Ego Æþel[s]tan Dux";"Æþel[s]tan";"Dux";"14";"FALSE";S 532;;
"Ego Wulfgar Dux";"Wulfgar";"Dux";"15";"FALSE";S 532;;
"Ego Ealhelm Dux";"Ealhelm";"Dux";"16";"FALSE";S 532;;
"Ego Æþelmund Dux";"Æþelmund";"Dux";"17";"FALSE";S 532;;
"Ego Ælfgar Dux";"Ælfgar";"Dux";"18";"FALSE";S 532;;
"Ego Eadmund minister";"Eadmund";"Minister";"19";"FALSE";S 532;;
"Ego Ælfstan minister";"Ælfstan";"Minister";"20";"FALSE";S 532;;
"Ego Wulfric minister";"Wulfric";"Minister";"21";"FALSE";S 532;;
"Ego Ælfsige minister";"Ælfsige";"Minister";"22";"FALSE";S 532;;
"Ego Æþelgeard minister";"Æþelgeard";"Minister";"23";"FALSE";S 532;;
"Ego Wulfric minister";"Wulfric";"Minister";"24";"FALSE";S 532;;
"Ego Ælfric minister";"Ælfric";"Minister";"25";"FALSE";S 532;;
"Ego Æþelnoð minister";"Æþelnoð";"Minister";"26";"FALSE";S 532;;
"Ego Æþelsige minister";"Æþelsige";"Minister";"27";"FALSE";S 532;;
"Ego Byrhtsige minister";"Byrhtsige";"Minister";"28";"FALSE";S 532;;
"Ego Ælfheah minister";"Ælfheah";"Minister";"29";"FALSE";S 532;;
"Ego Ælfred minister";"Ælfred";"Minister";"30";"FALSE";S 532;;
"Ego Æþered minister";"Æþered";"Minister";"31";"FALSE";S 532;;
"Ego Eadred . minister";"Eadred";"Minister";"32";"FALSE";S 532;;
"Ego Ædredus rex Anglorum præfatam donationem sub sigillo sanctæ crucis + indeclinabiliter consensi atque roboravi .";"Ædredus";"Sovereign";"1";"FALSE";S 533;;
"Ego Ædgifu ejusdem regis mater cum signaculo sanctæ crucis + confirmavi .";"Ædgifu";"Queen";"2";"FALSE";S 533;;
"Ego Oda Dorobernensis æcclesiæ archiepiscopus ejusdem regis principatum et benivolentiam cum sigillo sanctæ crucis conclusi .";"Oda";"Archbishop";"3";"FALSE";S 533;;
"Ego Þeodred Lundoniensis æcclesiæ episcopus corroboravi .";"Þeodred";"Bishop";"4";"FALSE";S 533;;
"Ego Ælfheach Wintoniensis æcclesiæ episcopus testudinem sanctæ crucis subscripsi et confirmavi .";"Ælfheach";"Bishop";"5";"FALSE";S 533;;
"Ego Cenuuald episcopus consensi .";"Cenuuald";"Bishop";"6";"FALSE";S 533;;
"Ego Ælfric episcopus confirmavi .";"Ælfric";"Bishop";"7";"FALSE";S 533;;
"Ego Æthelgar episcopus corroboravi .";"Æthelgar";"Bishop";"8";"FALSE";S 533;;
"Ego Ælfred episcopus confirmavi .";"Ælfred";"Bishop";"9";"FALSE";S 533;;
"Ego Wlfsi episcopus conclusi .";"Wlfsi";"Bishop";"10";"FALSE";S 533;;
"Æthelstanus dux .";"Æthelstanus";"Dux";"11";"FALSE";S 533;;
"Ædric dux .";"Ædric";"Dux";"12";"FALSE";S 533;;
"Æthelstan dux .";"Æthelstan";"Dux";"13";"FALSE";S 533;;
"Wlgar dux .";"Wlgar";"Dux";"14";"FALSE";S 533;;
"Ealhhelm dux .";"Ealhhelm";"Dux";"15";"FALSE";S 533;;
"Æthelmund dux .";"Æthelmund";"Dux";"16";"FALSE";S 533;;
"Ælgar dux .";"Ælgar";"Dux";"17";"FALSE";S 533;;
"Ædmund minister .";"Ædmund";"Minister";"18";"FALSE";S 533;;
"Ælfstan .";"Ælfstan";"None";"19";"FALSE";S 533;;
"Wlfric .";"Wlfric";"None";"20";"FALSE";S 533;;
"Æthelnoth .";"Æthelnoth";"None";"21";"FALSE";S 533;;
"Ælfsige .";"Ælfsige";"None";"22";"FALSE";S 533;;
"Wlfric .";"Wlfric";"None";"23";"FALSE";S 533;;
"Æthelegerd .";"Æthelegerd";"None";"24";"FALSE";S 533;;
"Ælfheah .";"Ælfheah";"None";"25";"FALSE";S 533;;
"Ætheric .";"Ætheric";"None";"26";"FALSE";S 533;;
"+ Ego Oda Dorobernensis ecclesie archiepiscopus eiusdem regis principatum et beniuolenciam sub sigillo sancte crucis conclusi.";"Oda";"Archbishop";"1";"FALSE";S 534;;
"+ Ego Þeodred Lundoniensis episcopus coroboraui.";"Þeodred";"Bishop";"2";"FALSE";S 534;;
"+ Ego Alphech Wintoniensis ecclesie episcopus testitudinem sancte crucis subscripsi.";"Alphech";"Bishop";"3";"FALSE";S 534;;
"+ Ego Aluric episcopus consignaui.";"Aluric";"Bishop";"4";"FALSE";S 534;;
"+ Ego Alfgar episcopus roboraui.";"Alfgar";"Bishop";"5";"FALSE";S 534;;
"+ Ego Wlsige episcopus conclusi.";"Wlsige";"Bishop";"6";"FALSE";S 534;;
"+ Ego Alfred episcopus consensi.";"Alfred";"Bishop";"7";"FALSE";S 534;;
"+ Ego Aþelstan dux";"Aþelstan";"Dux";"8";"FALSE";S 534;;
"+ Ego Adric dux";"Adric";"Dux";"9";"FALSE";S 534;;
"+ Ego Ealhdem dux";"Ealhdem";"Dux";"10";"FALSE";S 534;;
"+ Ego Admund minister";"Admund";"Minister";"11";"FALSE";S 534;;
"+ Ego Elfstan minister";"Elfstan";"Minister";"12";"FALSE";S 534;;
"+ Ego Wluric minister";"Wluric";"Minister";"13";"FALSE";S 534;;
"+ Ego Alfsige minister";"Alfsige";"Minister";"14";"FALSE";S 534;;
"+ Ego Wluric minister";"Wluric";"Minister";"15";"FALSE";S 534;;
"+ Ego Aluric minister";"Aluric";"Minister";"16";"FALSE";S 534;;
"+ Ego Aþelsige minister";"Aþelsige";"Minister";"17";"FALSE";S 534;;
"+ Ego Alfred minister";"Alfred";"Minister";"18";"FALSE";S 534;;
"+ Ego Aþelgerd minister +";"Aþelgerd";"Minister";"19";"FALSE";S 534;;
"+ Ego Eadredus rex Anglorum prefatam donationem sub sigillo sancte crucis indeclinabiliter consensi atque roboraui.";"Eadredus";"Sovereign";"1";"FALSE";S 535;;
"+ Ego Eadgifu eiusdem regis mater cum sigillo sancte crucis confirmaui.";"Eadgifu";"None";"2";"FALSE";S 535;;
"+ Ego Oda Dorobornensis æcclesie archiepiscopus eiusdem regis principatum et beniuolentiam sub sigillo sancte crucis conclusi.";"Oda Dorobornensis";"Archbishop";"3";"FALSE";S 535;;
"+ Ego Wulfstanus archons diuine seruitutis officio mancipatus Eborace ciuitatis archiepiscopus sigillum sancte crucis impressi.";"Wulfstanus";"Archbishop";"4";"FALSE";S 535;;
"+ Ego Þeodred Lundoniensis æcclesie episcopus corroboraui.";"Þeodred Lundoniensis";"Bishop";"5";"FALSE";S 535;;
"+ Ego Ælfheah Wintaniensis æcclesie episcopus testudinem sancte crucis subscripsi et confirmaui.";"Ælfheah Wintaniensis";"Bishop";"6";"FALSE";S 535;;
"+ Ego Cenwald episcopus consensi.";"Cenwald";"Bishop";"7";"FALSE";S 535;;
"+ Ego Ælfric episcopus consignaui.";"Ælfric";"Bishop";"8";"FALSE";S 535;;
"+ Ego Æþelgar episcopus confirmaui.";"Æþelgar";"Bishop";"9";"FALSE";S 535;;
"+ Ego Ælfred episcopus corroboraui.";"Ælfred";"Bishop";"10";"FALSE";S 535;;
"+ Ego Wulfsige episcopus conclusi.";"Wulfsige";"Bishop";"11";"FALSE";S 535;;
"+ Æþelstan dux.";"Æþelstan";"Dux";"12";"FALSE";S 535;;
"+ Eadric dux.";"Eadric";"Dux";"13";"FALSE";S 535;;
"+ Æþelstan dux.";"Æþelstan";"Dux";"14";"FALSE";S 535;;
"+ Ealhhelm dux.";"Ealhhelm";"Dux";"15";"FALSE";S 535;;
"+ Aþelmund dux.";"Aþelmund";"Dux";"16";"FALSE";S 535;;
"+ Ælfgar dux.";"Ælfgar";"Dux";"17";"FALSE";S 535;;
"+ Eadmund minister.";"Eadmund";"Minister";"18";"FALSE";S 535;;
"+ Ælfstan minister.";"Ælfstan";"Minister";"19";"FALSE";S 535;;
"+ Wulfric minister.";"Wulfric";"Minister";"20";"FALSE";S 535;;
"+ Ælfsige minister.";"Ælfsige";"Minister";"21";"FALSE";S 535;;
"+ Wulfric minister.";"Wulfric";"Minister";"22";"FALSE";S 535;;
"+ Beorhtsige minister.";"Beorhtsige";"Minister";"23";"FALSE";S 535;;
"+ Æþelgeard minister.";"Æþelgeard";"Minister";"24";"FALSE";S 535;;
"+ Æþelnoþ minister.";"Æþelnoþ";"Minister";"25";"FALSE";S 535;;
"+ Ælfhelm minister.";"Ælfhelm";"Minister";"26";"FALSE";S 535;;
"Ego Eadredus Rex Anglorum prefatam donationem sub sigillo sanctæ crucis indeclinabiliter consensi atque roboravi";"Eadredus";"Sovereign";"1";"FALSE";S 536;;
"Ego Eadgyfu . Dorobornensis æcclesiæ archiepiscopus ejusdem regis mater cum sigillo sanctæ crucis conclusi";"Eadgyfu";"Archbishop";"2";"FALSE";S 536;;
"Ego Oda Dorobornensis æcclesiæ archiepiscopus ejusdem regis principatum et benivolentiam sub sigillo sanctæ crucis confirmavi";"Oda";"Archbishop";"3";"FALSE";S 536;;
"Ego Wulfstanus Archons divinæ servitutis officio mancipatus Eboracæ civitatis archiepiscopus sigillum sanctæ crucis impressi";"Wulfstanus";"Archbishop";"4";"FALSE";S 536;;
"Ego ˝eodred Lundoniensis æcclesiæ episcopus corroboravi";"˝eodred";"Bishop";"5";"FALSE";S 536;;
"Ego Ælfheah Wintoniensis æcclesiæ episcopus testudinem sanctæ crucis subscripsi et confirmavi";"Ælfheah";"Bishop";"6";"FALSE";S 536;;
"Ego Cenwald episcopus consensi";"Cenwald";"Bishop";"7";"FALSE";S 536;;
"Ego Ælfric episcopus consignavi";"Ælfric";"Bishop";"8";"FALSE";S 536;;
"Ego Æþelgar episcopus confirmavi";"Æþelgar";"Bishop";"9";"FALSE";S 536;;
"Ego Ælfred episcopus corroboravi";"Ælfred";"Bishop";"10";"FALSE";S 536;;
"Ego Wulfsige episcopus conclusi";"Wulfsige";"Bishop";"11";"FALSE";S 536;;
"Ego Æþelstan Dux";"Æþelstan";"Dux";"12";"FALSE";S 536;;
"Ego Eadric Dux";"Eadric";"Dux";"13";"FALSE";S 536;;
"Ego Æþelstan Dux";"Æþelstan";"Dux";"14";"FALSE";S 536;;
"Ego Ealhelm Dux";"Ealhelm";"Dux";"15";"FALSE";S 536;;
"Ego Aþelmund Dux";"Aþelmund";"Dux";"16";"FALSE";S 536;;
"Ego Ælfgar Dux";"Ælfgar";"Dux";"17";"FALSE";S 536;;
"Ego Eadmund minister";"Eadmund";"Minister";"18";"FALSE";S 536;;
"Ego Ælfstan minister";"Ælfstan";"Minister";"19";"FALSE";S 536;;
"Ego Wulfric minister";"Wulfric";"Minister";"20";"FALSE";S 536;;
"Ego Ælfsige minister";"Ælfsige";"Minister";"21";"FALSE";S 536;;
"Ego Wulfric minister";"Wulfric";"Minister";"22";"FALSE";S 536;;
"Ego Æþelnod minister";"Æþelnod";"Minister";"23";"FALSE";S 536;;
"Ego Ælfric minister";"Ælfric";"Minister";"24";"FALSE";S 536;;
"Ego Ælfred minister";"Ælfred";"Minister";"25";"FALSE";S 536;;
"Ego Ælfheah minister";"Ælfheah";"Minister";"26";"FALSE";S 536;;
"Ego Æþeric minister";"Æþeric";"Minister";"27";"FALSE";S 536;;
"Ego Æþelsige minister";"Æþelsige";"Minister";"28";"FALSE";S 536;;
"Ego Ælfhelm minister";"Ælfhelm";"Minister";"29";"FALSE";S 536;;
"+ Ego Eadredus rex Anglorum hanc donacionem destinaui ecclesie Christi anno incarnacionis dominice .dcccc.xlviiio., indictione .xv., imperii autem mei anno .iiii., in regali palacio quod est Godeshylle.";"Eadredus";"Sovereign";"1";"FALSE";S 537;;
